id,sigla,iata,nombre,municipio,departamento,id_categoriaaeropuerto,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio,year,fecha_inicio,fecha_fin,vigente
15,7FZ,7FZ,EL TRIUNFO,Orocué,Casanare,A,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,630,25,3000,475," 5532,000",2014-11-11,,1A,Privado,2,85,85230,2014,2009-01-01,2014-12-31,N
16,7FZ,7FZ,EL TRIUNFO,Orocué,Casanare,A,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,363,42,3000,475," 5532,000",2014-11-11,,1A,Público,2,85,85230,2015,2015-01-01,2015-12-31,N
17,7FZ,7FZ,EL TRIUNFO,Orocué,Casanare,A,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,5,66,3000,475," 5532,000",2014-11-11,,1A,Aerocivil,2,85,85230,2016,2016-01-01,2100-12-31,S
18,7GA,7GA,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,A,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,269,27,500,0," 6067,000",2012-10-25,2015-11-07,1A,Público,0,13,13001,2014,2009-01-01,2014-12-31,N
19,7GA,7GA,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,A,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,204,46,500,0," 6067,000",2012-10-25,2015-11-07,1A,Público,0,13,13001,2015,2015-01-01,2015-12-31,N
20,7GA,7GA,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,A,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,106,69,500,0," 6067,000",2012-10-25,2015-11-07,1A,Público,0,13,13001,2016,2016-01-01,2100-12-31,S
21,7GB,7GB,LA CAROLINA,El Paso,Cesar,A,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,249,8,500,690," 5474,000",2009-10-06,,UL,Público,0,20,20250,2014,2009-01-01,2014-12-31,N
22,7GB,7GB,LA CAROLINA,El Paso,Cesar,A,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,189,5,500,690," 5474,000",2009-10-06,,UL,Aerocivil,0,20,20250,2015,2015-01-01,2015-12-31,N
23,7GB,7GB,LA CAROLINA,El Paso,Cesar,A,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,46,4,500,690," 5474,000",2009-10-06,,UL,Aerocivil,0,20,20250,2016,2016-01-01,2100-12-31,S
24,7GC,7GC,SAN FELIPE DEL PAUTO,Trinidad,Casanare,A,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,939,4,3000,3125," 4505,000",2012-08-16,,1A,Privado,275,85,85430,2014,2009-01-01,2014-12-31,N
25,7GC,7GC,SAN FELIPE DEL PAUTO,Trinidad,Casanare,A,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,1368,2,3000,3125," 4505,000",2012-08-16,,1A,Fumigación,412,85,85430,2015,2015-01-01,2015-12-31,N
26,7GC,7GC,SAN FELIPE DEL PAUTO,Trinidad,Casanare,A,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,1783,0,3000,3125," 4505,000",2012-08-16,,1A,Fumigación,578,85,85430,2016,2016-01-01,2100-12-31,S
27,7GD,7GD,VELASQUEZ,Puerto Boyacá,Boyacá,A,5.9482,-74.4575,FAC,MANSAROVAR,1057,24,10000,617," 2135,000",2013-05-16,,3C,Aerocivil,790,15,15572,2014,2009-01-01,2014-12-31,N
28,7GD,7GD,VELASQUEZ,Puerto Boyacá,Boyacá,A,5.9482,-74.4575,FAC,MANSAROVAR,890,32,10000,617," 2135,000",2013-05-16,,3C,Aerocivil,733,15,15572,2015,2015-01-01,2015-12-31,N
29,7GD,7GD,VELASQUEZ,Puerto Boyacá,Boyacá,A,5.9482,-74.4575,FAC,MANSAROVAR,496,47,10000,617," 2135,000",2013-05-16,,3C,Público,46,15,15572,2016,2016-01-01,2100-12-31,S
30,7GE,7GE,LUCITANIA,Orocué,Casanare,A,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,1266,6,3000,443," 1051,000",2014-02-28,2017-03-03,1A,Aerocivil,0,85,85230,2014,2009-01-01,2014-12-31,N
31,7GE,7GE,LUCITANIA,Orocué,Casanare,A,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,1691,2,3000,443," 1051,000",2014-02-28,2017-03-03,1A,Fumigación,0,85,85230,2015,2015-01-01,2015-12-31,N
32,7GE,7GE,LUCITANIA,Orocué,Casanare,A,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,2677,2,3000,443," 1051,000",2014-02-28,2017-03-03,1A,Privado,0,85,85230,2016,2016-01-01,2100-12-31,S
33,7GF,7GF,LA UNION,Paz de Ariporo,Casanare,A,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,757,14,3500,335," 2136,000",2013-05-16,,1A,Fumigación,48,85,85250,2014,2009-01-01,2014-12-31,N
34,7GF,7GF,LA UNION,Paz de Ariporo,Casanare,A,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,829,11,3500,335," 2136,000",2013-05-16,,1A,Aerocivil,19,85,85250,2015,2015-01-01,2015-12-31,N
35,7GF,7GF,LA UNION,Paz de Ariporo,Casanare,A,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,1092,3,3500,335," 2136,000",2013-05-16,,1A,Fumigación,0,85,85250,2016,2016-01-01,2100-12-31,S
36,7GG,7GG,LA ILUSION,Maní,Casanare,A,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,418,22,3500,574," 1944,000",2013-05-03,2016-05-10,1A,Aerocivil,3,85,85139,2014,2009-01-01,2014-12-31,N
37,7GG,7GG,LA ILUSION,Maní,Casanare,A,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,131,30,3500,574," 1944,000",2013-05-03,2016-05-10,1A,Fumigación,4,85,85139,2015,2015-01-01,2015-12-31,N
38,7GG,7GG,LA ILUSION,Maní,Casanare,A,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,4,51,3500,574," 1944,000",2013-05-03,2016-05-10,1A,Público,6,85,85139,2016,2016-01-01,2100-12-31,S
39,7GH,7GH,LA VENTUROSA,Puerto Carreño,Vichada,A,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1543,22,9500,246," 6782,000",2013-12-05,,1A,Público,41,99,99001,2014,2009-01-01,2014-12-31,N
40,7GH,7GH,LA VENTUROSA,Puerto Carreño,Vichada,A,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1968,39,9500,246," 6782,000",2013-12-05,,1A,Público,14,99,99001,2015,2015-01-01,2015-12-31,N
41,7GH,7GH,LA VENTUROSA,Puerto Carreño,Vichada,A,6.1391,-68.7779,MUNICIPIO,GOBERNACION,2723,77,9500,246," 6782,000",2013-12-05,,1A,Fumigación,0,99,99001,2016,2016-01-01,2100-12-31,S
42,7GI,7GI,GUAYABAL DEL CRAVO,Orocué,Casanare,A,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,326,12,2500,442," 3710,000",2013-07-24,2016-08-01,1A,Público,1,85,85230,2014,2009-01-01,2014-12-31,N
43,7GI,7GI,GUAYABAL DEL CRAVO,Orocué,Casanare,A,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,89,20,2500,442," 3710,000",2013-07-24,2016-08-01,1A,Público,1,85,85230,2015,2015-01-01,2015-12-31,N
44,7GI,7GI,GUAYABAL DEL CRAVO,Orocué,Casanare,A,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,58,21,2500,442," 3710,000",2013-07-24,2016-08-01,1A,Privado,2,85,85230,2016,2016-01-01,2100-12-31,S
45,7GK,7GK,LAS VIOLETAS- CA,Castilla la Nueva,Meta,A,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,464,7,500,609," 4132,000",2010-08-19,,UL,Fumigación,0,50,50150,2014,2009-01-01,2014-12-31,N
46,7GK,7GK,LAS VIOLETAS- CA,Castilla la Nueva,Meta,A,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,539,7,500,609," 4132,000",2010-08-19,,UL,Fumigación,0,50,50150,2015,2015-01-01,2015-12-31,N
47,7GK,7GK,LAS VIOLETAS- CA,Castilla la Nueva,Meta,A,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,921,7,500,609," 4132,000",2010-08-19,,UL,Privado,0,50,50150,2016,2016-01-01,2100-12-31,S
48,7GL,7GL,LA JAGUA,La Jagua de Ibirico,Cesar,A,9.5905,-73.2886,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,842,17,7500,787,"  171,000",2015-01-27,2018-02-06,2A,Fumigación,1070,20,20400,2015,2009-01-01,2015-12-31,N
49,7GL,7GL,LA JAGUA,La Jagua de Ibirico,Cesar,A,9.5905,-73.2886,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,564,15,7500,787,"  171,000",2015-01-27,2018-02-06,2A,Público,1070,20,20400,2016,2016-01-01,2100-12-31,S
50,7GN,7GN,LOS MANGOS,Ayapel,Córdoba,A,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,179,12,500,90," 5190,000",2013-09-24,,UL,Aerocivil,0,23,23068,2014,2009-01-01,2014-12-31,N
51,7GN,7GN,LOS MANGOS,Ayapel,Córdoba,A,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,122,22,500,90," 5190,000",2013-09-24,,UL,Fumigación,0,23,23068,2015,2015-01-01,2015-12-31,N
52,7GN,7GN,LOS MANGOS,Ayapel,Córdoba,A,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,82,40,500,90," 5190,000",2013-09-24,,UL,Público,0,23,23068,2016,2016-01-01,2100-12-31,S
53,7GO,7GO,MATABRAVA,San Luis de Palenque,Casanare,A,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,561,11,2000,524," 5966,000",2014-12-15,,1A,Fumigación,1,85,85325,2014,2009-01-01,2014-12-31,N
54,7GO,7GO,MATABRAVA,San Luis de Palenque,Casanare,A,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,35,14,2000,524," 5966,000",2014-12-15,,1A,Fumigación,1,85,85325,2015,2015-01-01,2015-12-31,N
55,7GO,7GO,MATABRAVA,San Luis de Palenque,Casanare,A,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,31,15,2000,524," 5966,000",2014-12-15,,1A,Público,1,85,85325,2016,2016-01-01,2100-12-31,S
56,7GP,7GP,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,A,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,280,17,500,176,"  236,000",2014-01-21,,UL,Fumigación,0,47,47545,2014,2009-01-01,2014-12-31,N
57,7GP,7GP,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,A,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,68,22,500,176,"  236,000",2014-01-21,,UL,Aerocivil,0,47,47545,2015,2015-01-01,2015-12-31,N
58,7GP,7GP,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,A,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,25,36,500,176,"  236,000",2014-01-21,,UL,Público,0,47,47545,2016,2016-01-01,2100-12-31,S
59,7GQ,7GQ,LA PROVINCIA,Paz de Ariporo,Casanare,A,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,592,14,2500,430,"  399,000",2014-01-31,,1A,Aerocivil,0,85,85250,2014,2009-01-01,2014-12-31,N
60,7GQ,7GQ,LA PROVINCIA,Paz de Ariporo,Casanare,A,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,46,10,2500,430,"  399,000",2014-01-31,,1A,Aerocivil,0,85,85250,2015,2015-01-01,2015-12-31,N
61,7GQ,7GQ,LA PROVINCIA,Paz de Ariporo,Casanare,A,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,37,7,2500,430,"  399,000",2014-01-31,,1A,Público,0,85,85250,2016,2016-01-01,2100-12-31,S
62,7GS,7GS,EL ENCANTO,Cumaribo,Vichada,A,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,792,10,5000,544," 5964,000",2014-12-15,,1A,Fumigación,376,99,99773,2014,2009-01-01,2014-12-31,N
63,7GS,7GS,EL ENCANTO,Cumaribo,Vichada,A,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,442,3,5000,544," 5964,000",2014-12-15,,1A,Fumigación,376,99,99773,2015,2015-01-01,2015-12-31,N
64,7GS,7GS,EL ENCANTO,Cumaribo,Vichada,A,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,253,1,5000,544," 5964,000",2014-12-15,,1A,Público,376,99,99773,2016,2016-01-01,2100-12-31,S
65,7GU,7GU,HATO GARIBAY,Maní,Casanare,A,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,739,18,5500,482," 4212,000",2014-08-06,,1A,Fumigación,0,85,85139,2014,2009-01-01,2014-12-31,N
66,7GU,7GU,HATO GARIBAY,Maní,Casanare,A,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,368,35,5500,482," 4212,000",2014-08-06,,1A,Público,0,85,85139,2015,2015-01-01,2015-12-31,N
67,7GU,7GU,HATO GARIBAY,Maní,Casanare,A,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,331,35,5500,482," 4212,000",2014-08-06,,1A,Privado,0,85,85139,2016,2016-01-01,2100-12-31,S
68,7GV,7GV,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,A,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,12,6,3500,652," 5236,000",2014-10-14,2017-12-01,1A,Privado,6,85,85250,2014,2009-01-01,2014-12-31,N
69,7GV,7GV,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,A,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,1,5,3500,652," 5236,000",2014-10-14,2017-12-01,1A,Público,6,85,85250,2015,2015-01-01,2015-12-31,N
70,7GV,7GV,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,A,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,0,2,3500,652," 5236,000",2014-10-14,2017-12-01,1A,Público,6,85,85250,2016,2016-01-01,2100-12-31,S
71,7GX,7GX,LA ATARRAYA - CA.,Ayapel,Córdoba,A,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,82,18,500,91," 5714,000",2014-11-25,,UL,Privado,0,23,23068,2014,2009-01-01,2014-12-31,N
72,7GX,7GX,LA ATARRAYA - CA.,Ayapel,Córdoba,A,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,57,34,500,91," 5714,000",2014-11-25,,UL,Público,0,23,23068,2015,2015-01-01,2015-12-31,N
73,7GX,7GX,LA ATARRAYA - CA.,Ayapel,Córdoba,A,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,5,49,500,91," 5714,000",2014-11-25,,UL,Público,0,23,23068,2016,2016-01-01,2100-12-31,S
74,7GY,7GY,LAS ACACIAS,Nemocón,Cundinamarca,A,5.0949,-73.9054,JUAN BERNANDO SANINT G,EL MISMO,1345,17,10000,8431,"  439,000",2015-02-27,2018-03-05,3A,Fumigación,0,25,25486,2015,2009-01-01,2015-12-31,N
75,7GY,7GY,LAS ACACIAS,Nemocón,Cundinamarca,A,5.0949,-73.9054,JUAN BERNANDO SANINT G,EL MISMO,1289,14,10000,8431,"  439,000",2015-02-27,2018-03-05,3A,Público,0,25,25486,2016,2016-01-01,2100-12-31,S
76,7GZ,7GZ,COROZITO,Maní,Casanare,A,4.6701,-72.0994,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,995,9,,497,"  832,000",2015-04-14,,2A,Fumigación,161,85,85139,2015,2009-01-01,2015-12-31,N
77,7GZ,7GZ,COROZITO,Maní,Casanare,A,4.6701,-72.0994,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,37,9,,497,"  832,000",2015-04-14,,2A,Público,161,85,85139,2016,2016-01-01,2100-12-31,S
78,7HA,7HA,EL CONDOR,Flandes,Tolima,A,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,235,0,500,992," 5730,000",2012-10-09,2015-12-03,UL,Aerocivil,0,73,73275,2014,2009-01-01,2014-12-31,N
79,7HA,7HA,EL CONDOR,Flandes,Tolima,A,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,11,0,500,992," 5730,000",2012-10-09,2015-12-03,UL,Aerocivil,0,73,73275,2015,2015-01-01,2015-12-31,N
80,7HA,7HA,EL CONDOR,Flandes,Tolima,A,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,8,0,500,992," 5730,000",2012-10-09,2015-12-03,UL,Fumigación,0,73,73275,2016,2016-01-01,2100-12-31,S
81,7HB,7HB,HOTEL SAN DIEGO,Puerto Gaitán,Meta,A,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,440,4,4000,725," 6730,000",2012-11-26,2015-12-03,2A,Privado,150,50,50568,2014,2009-01-01,2014-12-31,N
82,7HB,7HB,HOTEL SAN DIEGO,Puerto Gaitán,Meta,A,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,7,4,4000,725," 6730,000",2012-11-26,2015-12-03,2A,Aerocivil,209,50,50568,2015,2015-01-01,2015-12-31,N
83,7HB,7HB,HOTEL SAN DIEGO,Puerto Gaitán,Meta,A,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,4,4,4000,725," 6730,000",2012-11-26,2015-12-03,2A,Privado,301,50,50568,2016,2016-01-01,2100-12-31,S
84,7HC,7HC,EL CAFUCHE,La Primavera,Vichada,A,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,917,17,4000,384," 3826,000",2013-07-30,2016-08-01,1A,Aerocivil,1,99,99524,2014,2009-01-01,2014-12-31,N
85,7HC,7HC,EL CAFUCHE,La Primavera,Vichada,A,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,1632,10,4000,384," 3826,000",2013-07-30,2016-08-01,1A,Fumigación,1,99,99524,2015,2015-01-01,2015-12-31,N
86,7HC,7HC,EL CAFUCHE,La Primavera,Vichada,A,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,2098,8,4000,384," 3826,000",2013-07-30,2016-08-01,1A,Fumigación,2,99,99524,2016,2016-01-01,2100-12-31,S
87,7HD,7HD,BOSQUES DE LA PRIMAVERA,La Primavera,Vichada,A,5.3489,-69.7467,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,1305,24,3000,396," 1444,000",2015-06-17,,1A,Público,0,99,99524,2015,2009-01-01,2015-12-31,N
88,7HD,7HD,BOSQUES DE LA PRIMAVERA,La Primavera,Vichada,A,5.3489,-69.7467,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,1426,44,3000,396," 1444,000",2015-06-17,,1A,Fumigación,0,99,99524,2016,2016-01-01,2100-12-31,S
89,7HE,7HE,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,A,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,28,10,3000,797," 5920,000",2012-10-19,,1A,Aerocivil,0,25,25086,2014,2009-01-01,2014-12-31,N
90,7HE,7HE,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,A,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,27,0,3000,797," 5920,000",2012-10-19,,1A,Aerocivil,0,25,25086,2015,2015-01-01,2015-12-31,N
91,7HE,7HE,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,A,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,3,0,3000,797," 5920,000",2012-10-19,,1A,Aerocivil,0,25,25086,2016,2016-01-01,2100-12-31,S
92,7HF,7HF,GAVILAN DE LA PASCUA,La Primavera,Vichada,A,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,312,25,3500,419," 7257,000",2012-12-20,,1A,Aerocivil,45,99,99524,2014,2009-01-01,2014-12-31,N
93,7HF,7HF,GAVILAN DE LA PASCUA,La Primavera,Vichada,A,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,16,35,3500,419," 7257,000",2012-12-20,,1A,Aerocivil,45,99,99524,2015,2015-01-01,2015-12-31,N
94,7HF,7HF,GAVILAN DE LA PASCUA,La Primavera,Vichada,A,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,10,44,3500,419," 7257,000",2012-12-20,,1A,Aerocivil,28,99,99524,2016,2016-01-01,2100-12-31,S
95,7HG,7HG,DOROTEA B1,Paz de Ariporo,Casanare,A,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,85,3,,404," 2362,000",2013-05-27,,2A,Fumigación,428,85,85250,2014,2009-01-01,2014-12-31,N
96,7HG,7HG,DOROTEA B1,Paz de Ariporo,Casanare,A,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,11,2,,404," 2362,000",2013-05-27,,2A,Público,239,85,85250,2015,2015-01-01,2015-12-31,N
97,7HG,7HG,DOROTEA B1,Paz de Ariporo,Casanare,A,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,1,1,,404," 2362,000",2013-05-27,,2A,Público,61,85,85250,2016,2016-01-01,2100-12-31,S
98,7HH,7HH,HORIZONTES,Piedecuesta,Santander,A,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,810,5,3500,4195," 5186,000",2013-09-24,,1A,Privado,0,68,68547,2014,2009-01-01,2014-12-31,N
99,7HH,7HH,HORIZONTES,Piedecuesta,Santander,A,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,949,1,3500,4195," 5186,000",2013-09-24,,1A,Privado,0,68,68547,2015,2015-01-01,2015-12-31,N
100,7HH,7HH,HORIZONTES,Piedecuesta,Santander,A,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,1439,0,3500,4195," 5186,000",2013-09-24,,1A,Público,0,68,68547,2016,2016-01-01,2100-12-31,S
101,7HJ,7HJ,MACOLLA,Maní,Casanare,A,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,694,13,5000,548," 2134,000",2013-05-16,,1A,Fumigación,6,85,85139,2014,2009-01-01,2014-12-31,N
